;1
532;15.048
533;15.214
534;16.010
535;20.502
536;24.344
537;27.657
538;29.575
539;30.749
540;31.433
541;31.648
542;31.328
543;30.434
544;28.330
545;24.415
546;22.693
547;21.537
548;20.525
549;19.659
550;18.810
551;18.027
552;17.688
553;17.366
554;16.803
555;16.307
556;15.924
557;15.742
558;15.737
559;19.178
560;21.695
561;23.777
562;26.023
563;28.087
564;29.561
565;30.294
566;30.392
567;29.830
568;27.642
569;22.995
570;21.258
571;19.923
572;18.716
573;17.817
574;17.242
575;16.709
576;16.203
577;15.784
578;15.495
579;15.446
580;15.517
581;15.460
582;16.181
583;19.735
584;22.926
585;26.451
586;28.761
587;30.142
588;30.959
589;31.181
590;30.837
591;29.822
592;27.568
593;23.747
594;22.496
595;21.485
596;20.452
597;19.499
598;18.670
599;17.883
600;18.075
601;17.918
602;17.517
603;17.186
604;16.859
605;16.574
606;16.859
607;19.201
608;20.806
609;23.514
610;26.473
611;28.392
612;29.182
613;29.897
614;29.940
615;29.193
616;26.825
617;21.542
618;19.820
619;18.669
620;17.612
621;16.736
622;16.017
623;15.371
624;14.750
625;14.465
626;14.046
627;13.051
628;12.004
629;11.303
630;11.555
631;14.432
632;17.611
633;20.241
634;22.383
635;24.006
636;25.000
637;25.413
638;25.232
639;24.357
640;22.218
641;17.933
642;16.377
643;15.037
644;13.931
645;12.997
646;12.085
647;11.186
648;10.408
649;9.776
650;9.195
651;8.683
652;8.278
653;7.870
654;7.962
655;10.448
656;14.012
657;17.074
658;19.355
659;21.201
660;22.516
661;23.097
662;23.083
663;22.343
664;20.323
665;15.277
666;13.595
667;12.690
668;11.921
669;11.303
670;10.894
671;10.629
672;10.718
673;11.100
674;11.358
675;11.360
676;11.354
677;11.792
678;13.024
679;15.910
680;18.661
681;21.481
682;23.760
683;25.569
684;26.745
685;27.347
686;27.364
687;26.700
688;23.922
689;18.753
690;16.895
691;15.543
692;14.361
693;13.376
694;12.543
695;11.962
696;11.616
697;11.364
698;11.233
699;10.770
700;10.363
701;9.845
702;9.959
703;12.757
704;16.681
705;19.842
706;22.214
707;23.982
708;25.138
709;25.663
710;25.527
711;24.645
712;22.270
713;16.972
714;15.234
715;14.238
716;13.393
717;12.792
718;12.423
719;12.137
720;11.799
721;11.413
722;11.047
723;10.733
724;10.397
725;9.960
726;10.197
727;13.377
728;17.151
729;20.465
730;23.002
731;24.931
732;26.206
733;26.782
734;26.651
735;25.791
736;23.544
737;18.806
738;17.397
739;16.585
740;15.923
741;15.364
742;14.736
743;14.095
744;13.631
745;13.297
746;12.985
747;12.674
748;12.396
749;12.098
750;12.233
751;14.564
752;17.928
753;21.103
754;23.910
755;26.032
756;27.310
757;27.866
758;27.771
759;26.973
760;24.881
761;20.593
762;19.339
763;18.499
764;17.843
765;17.358
766;16.896
767;16.411
768;15.974
769;15.589
770;15.249
771;14.903
772;14.561
773;14.263
774;14.510
775;17.176
776;20.368
777;23.178
778;25.741
779;27.892
780;29.293
781;29.950
782;30.013
783;29.419
784;27.148
785;22.431
786;20.816
787;19.890
788;18.974
789;18.302
790;17.996
791;18.007
792;18.032
793;18.001
794;18.140
795;17.982
796;17.615
797;17.187
798;17.266
799;20.212
800;23.432
801;26.824
802;29.462
803;31.373
804;32.467
805;32.897
806;32.767
807;32.022
808;29.715
809;25.617
810;24.249
811;23.286
812;22.693
813;21.610
814;20.372
815;20.147
816;20.269
817;20.134
818;19.950
819;19.693
820;19.422
821;19.196
822;19.786
823;23.575
824;26.673
825;29.480
826;31.297
827;32.505
828;33.203
829;33.336
830;32.902
831;32.046
832;29.917
833;25.819
834;24.425
835;23.643
836;22.891
837;21.866
838;20.720
839;19.982
840;19.264
841;18.615
842;18.021
843;17.526
844;17.041
845;16.130
846;15.487
847;16.819
848;19.182
849;21.817
850;24.275
851;26.578
852;28.187
853;28.968
854;29.209
855;28.693
856;26.439
857;21.086
858;18.865
859;17.442
860;16.274
861;14.475
862;13.487
863;12.784
864;12.103
865;11.378
866;10.795
867;10.255
868;9.740
869;9.220
870;9.281
871;11.997
872;15.914
873;18.834
874;21.078
875;22.848
876;24.128
877;24.828
878;24.849
879;24.081
880;22.050
881;17.140
882;15.461
883;14.257
884;13.167
885;12.382
886;11.781
887;11.139
888;10.377
889;9.778
890;9.321
891;9.027
892;8.836
893;8.634
894;9.103
895;12.139
896;15.943
897;18.772
898;21.011
899;22.911
900;24.261
901;24.978
902;25.057
903;24.416
904;22.592
905;18.063
906;16.398
907;15.083
908;14.078
909;13.281
910;12.579
911;11.981
912;11.512
913;11.093
914;10.598
915;10.149
916;9.726
917;9.337
918;9.451
919;11.954
920;15.476
921;18.266
922;20.497
923;22.347
924;23.671
925;24.356
926;24.351
927;23.614
928;21.914
929;18.130
930;16.404
931;15.385
932;14.464
933;13.687
934;13.061
935;12.480
936;11.948
937;11.452
938;10.952
939;10.555
940;10.190
941;9.796
942;9.778
943;12.167
944;15.426
945;18.223
946;20.489
947;22.273
948;23.553
949;24.319
950;24.441
951;23.767
952;22.078
953;18.316
954;16.509
955;15.339
956;14.343
957;13.612
958;12.892
959;12.080
960;11.261
961;10.612
962;10.074
963;9.523
964;8.982
965;8.453
966;8.445
967;10.841
968;14.184
969;16.752
970;18.733
971;20.367
972;21.617
973;22.351
974;22.441
