;1;2;3;4;5;6;7;8;9;10
0;3872.779497;4066.418472;4269.739395;4483.226365;4707.387683;4942.757067;5189.894921;5449.389667;5721.85915;6007.952108
1;3967.331149;4165.697707;4373.982592;4592.681722;4822.315808;5063.431598;5316.603178;5582.433337;5861.555004;6154.632754
2;4254.746974;4467.484322;4690.858538;4925.401465;5171.671539;5430.255116;5701.767871;5986.856265;6286.199078;6600.509032
3;4257.688545;4470.572972;4694.101621;4928.806702;5175.247037;5434.009389;5705.709859;5990.995351;6290.545119;6605.072375
4;4217.07794;4427.931837;4649.328429;4881.79485;5125.884593;5382.178822;5651.287763;5933.852152;6230.544759;6542.071997
5;4241.818124;4453.90903;4676.604482;4910.434706;5155.956441;5413.754263;5684.441976;5968.664075;6267.097279;6580.452143
6;5655.901434;5938.696506;6235.631331;6547.412897;6874.783542;7218.522719;7579.448855;7958.421298;8356.342363;8774.159481
7;8785.677372;9224.961241;9686.209303;10170.51977;10679.04576;11212.99804;11773.64795;12362.33034;12980.44686;13629.4692
8;8401.853197;8821.945857;9263.04315;9726.195307;10212.50507;10723.13033;11259.28684;11822.25118;12413.36374;13034.03193
9;7895.184947;8289.944194;8704.441404;9139.663474;9596.646648;10076.47898;10580.30293;11109.31808;11664.78398;12248.02318
10;9973.921237;10472.6173;10996.24816;11546.06057;12123.3636;12729.53178;13366.00837;14034.30879;14736.02423;15472.82544
11;9666.068734;10149.37217;10656.84078;11189.68282;11749.16696;12336.62531;12953.45657;13601.1294;14281.18587;14995.24516
12;9279.889275;9743.883739;10231.07793;10742.63182;11279.76341;11843.75158;12435.93916;13057.73612;13710.62293;14396.15407
13;10536.5244;11063.35062;11616.51815;12197.34406;12807.21126;13447.57182;14119.95042;14825.94794;15567.24533;16345.6076
14;20070.07781;21073.5817;22127.26078;23233.62382;24395.30501;25615.07026;26895.82378;28240.61497;29652.64572;31135.278
15;14148.19606;14855.60586;15598.38615;16378.30546;17197.22073;18057.08177;18959.93586;19907.93265;20903.32928;21948.49575
16;11612.4986;12193.12353;12802.7797;13442.91869;14115.06462;14820.81785;15561.85875;16339.95168;17156.94927;18014.79673
17;8648.979851;9081.428843;9535.500285;10012.2753;10512.88906;11038.53352;11590.46019;12169.9832;12778.48236;13417.40648
18;10247.70997;10760.09546;11298.10024;11863.00525;12456.15551;13078.96329;13732.91145;14419.55702;15140.53487;15897.56162
19;14243.28283;14955.44697;15703.21932;16488.38029;17312.7993;18178.43927;19087.36123;20041.72929;21043.81576;22096.00655
20;18024.50699;18925.73234;19872.01896;20865.6199;21908.9009;23004.34594;24154.56324;25362.2914;26630.40597;27961.92627
21;19862.67437;20855.80809;21898.5985;22993.52842;24143.20484;25350.36509;26617.88334;27948.77751;29346.21638;30813.5272
22;17532.25678;18408.86961;19329.31309;20295.77875;21310.56769;22376.09607;23494.90087;24669.64592;25903.12821;27198.28463
23;10171.22857;10679.79;11213.7795;11774.46848;12363.1919;12981.3515;13630.41907;14311.94003;15027.53703;15778.91388
24;3768.375789;3956.794579;4154.634308;4362.366023;4580.484324;4809.50854;5049.983967;5302.483166;5567.607324;5845.98769
25;3897.274003;4092.137703;4296.744588;4511.581818;4737.160909;4974.018954;5222.719902;5483.855897;5758.048692;6045.951126
26;4182.678277;4391.812191;4611.402801;4841.972941;5084.071588;5338.275167;5605.188926;5885.448372;6179.72079;6488.70683
27;4216.563347;4427.391515;4648.76109;4881.199145;5125.259102;5381.522057;5650.59816;5933.128068;6229.784471;6541.273695
28;4296.83186;4511.673453;4737.257126;4974.119982;5222.825981;5483.96728;5758.165644;6046.073927;6348.377623;6665.796504
29;4518.642229;4744.574341;4981.803058;5230.893211;5492.437871;5767.059765;6055.412753;6358.183391;6676.09256;7009.897188
30;5682.396861;5966.516704;6264.84254;6578.084667;6906.9889;7252.338345;7614.955262;7995.703025;8395.488177;8815.262585
31;9254.012061;9716.712664;10202.5483;10712.67571;11248.3095;11810.72497;12401.26122;13021.32428;13672.3905;14356.01002
32;9790.887667;10280.43205;10794.45365;11334.17634;11900.88515;12495.92941;13120.72588;13776.76217;14465.60028;15188.8803
33;7865.771085;8259.059639;8672.012621;9105.613252;9560.893915;10038.93861;10540.88554;11067.92982;11621.32631;12202.39262
34;13227.53249;13888.90912;14583.35457;15312.5223;16078.14842;16882.05584;17726.15863;18612.46656;19543.08989;20520.24438
35;12053.78021;12656.46922;13289.29268;13953.75731;14651.44518;15384.01744;16153.21831;16960.87923;17808.92319;18699.36935
36;8842.039895;9284.14189;9748.348984;10235.76643;10747.55476;11284.93249;11849.17912;12441.63807;13063.71998;13716.90598
37;9190.739477;9650.276451;10132.79027;10639.42979;11171.40128;11729.97134;12316.46991;12932.2934;13578.90807;14257.85348
38;10741.51537;11278.59114;11842.52069;12434.64673;13056.37906;13709.19802;14394.65792;15114.39081;15870.11035;16663.61587
39;12728.78639;13365.22571;14033.48699;14735.16134;15471.91941;16245.51538;17057.79115;17910.68071;18806.21474;19746.52548
40;11328.68934;11895.12381;12489.88;13114.374;13770.0927;14458.59734;15181.5272;15940.60356;16737.63374;17574.51543
41;8695.123386;9129.879555;9586.373533;10065.69221;10568.97682;11097.42566;11652.29694;12234.91179;12846.65738;13488.99025
42;10640.48675;11172.51109;11731.13665;12317.69348;12933.57815;13580.25706;14259.26991;14972.23341;15720.84508;16506.88733
43;13819.08557;14510.03985;15235.54184;15997.31893;16797.18488;17637.04412;18518.89633;19444.84114;20417.0832;21437.93736
44;18641.58126;19573.66033;20552.34334;21579.96051;22658.95854;23791.90646;24981.50179;26230.57688;27542.10572;28919.211
45;21801.45467;22891.5274;24036.10377;25237.90896;26499.80441;27824.79463;29216.03436;30676.83608;32210.67789;33821.21178
46;18091.67384;18996.25753;19946.07041;20943.37393;21990.54262;23090.06975;24244.57324;25456.8019;26729.642;28066.1241
47;11054.4001;11607.1201;12187.47611;12796.84992;13436.69241;14108.52703;14813.95338;15554.65105;16332.38361;17149.00279
48;4070.626072;4274.157375;4487.865244;4712.258506;4947.871432;5195.265003;5455.028253;5727.779666;6014.168649;6314.877082
49;3930.846462;4127.388785;4333.758225;4550.446136;4777.968443;5016.866865;5267.710208;5531.095719;5807.650504;6098.03303
50;4091.36161;4295.92969;4510.726174;4736.262483;4973.075607;5221.729388;5482.815857;5756.95665;6044.804482;6347.044707
51;4191.064734;4400.617971;4620.648869;4851.681313;5094.265378;5348.978647;5616.427579;5897.248958;6192.111406;6501.716977
52;4374.19331;4592.902975;4822.548124;5063.67553;5316.859306;5582.702272;5861.837385;6154.929255;6462.675717;6785.809503
53;4884.780276;5129.01929;5385.470255;5654.743767;5937.480956;6234.355003;6546.072754;6873.376391;7217.045211;7577.897471
54;5613.860573;5894.553601;6189.281281;6498.745345;6823.682613;7164.866743;7523.110081;7899.265585;8294.228864;8708.940307
55;9394.400105;9864.12011;10357.32612;10875.19242;11418.95204;11989.89964;12589.39463;13218.86436;13879.80758;14573.79795
56;9273.688694;9737.373129;10224.24179;10735.45387;11272.22657;11835.8379;12427.62979;13049.01128;13701.46184;14386.53494
57;8145.273203;8552.536863;8980.163706;9429.171891;9900.630486;10395.66201;10915.44511;11461.21737;12034.27823;12635.99215
58;7939.432249;8336.403862;8753.224055;9190.885258;9650.429521;10132.951;10639.59855;11171.57847;11730.1574;12316.66527
59;8587.473999;9016.847699;9467.690084;9941.074588;10438.12832;10960.03473;11508.03647;12083.43829;12687.61021;13321.99072
60;8600.138972;9030.145921;9481.653217;9955.735878;10453.52267;10976.19881;11525.00875;12101.25918;12706.32214;13341.63825
61;9474.658819;9948.39176;10445.81135;10968.10192;11516.50701;12092.33236;12696.94898;13331.79643;13998.38625;14698.30556
62;11436.14864;12007.95607;12608.35387;13238.77157;13900.71014;14595.74565;15325.53293;16091.80958;16896.40006;17741.22006
63;12514.8133;13140.55397;13797.58167;14487.46075;15211.83379;15972.42548;16771.04675;17609.59909;18490.07905;19414.583
64;10626.03465;11157.33638;11715.2032;12300.96336;12916.01153;13561.81211;14239.90271;14951.89785;15699.49274;16484.46738
65;8276.756231;8690.594042;9125.123744;9581.379931;10060.44893;10563.47137;11091.64494;11646.22719;12228.53855;12839.96548
66;10380.507;10899.53235;11444.50897;12016.73442;12617.57114;13248.4497;13910.87218;14606.41579;15336.73658;16103.57341
67;13277.32814;13941.19455;14638.25427;15370.16699;16138.67534;16945.6091;17792.88956;18682.53404;19616.66074;20597.49377
68;17561.98259;18440.08172;19362.08581;20330.1901;21346.6996;22414.03458;23534.73631;24711.47313;25947.04678;27244.39912
69;20601.28659;21631.35092;22712.91847;23848.56439;25040.99261;26293.04224;27607.69435;28988.07907;30437.48302;31959.35717
70;17515.9582;18391.75611;19311.34391;20276.91111;21290.75666;22355.29449;23473.05922;24646.71218;25879.04779;27173.00018
71;10469.43124;10992.9028;11542.54794;12119.67534;12725.65911;13361.94206;14030.03916;14731.54112;15468.11818;16241.52409
72;3589.394842;3768.864584;3957.307813;4155.173204;4362.931864;4581.078458;4810.13238;5050.638999;5303.170949;5568.329497
73;3980.331566;4179.348144;4388.315551;4607.731329;4838.117895;5080.02379;5334.024979;5600.726228;5880.76254;6174.800667
74;3918.184653;4114.093886;4319.79858;4535.788509;4762.577935;5000.706832;5250.742173;5513.279282;5788.943246;6078.390408
75;3880.204215;4074.214425;4277.925147;4491.821404;4716.412474;4952.233098;5199.844753;5459.83699;5732.82884;6019.470282
76;3962.036087;4160.137891;4368.144786;4586.552025;4815.879626;5056.673607;5309.507288;5574.982652;5853.731785;6146.418374
77;4260.746575;4473.783904;4697.473099;4932.346754;5178.964092;5437.912297;5709.807912;5995.298307;6295.063223;6609.816384
78;5833.162032;6124.820133;6431.06114;6752.614197;7090.244907;7444.757152;7816.99501;8207.84476;8618.236998;9049.148848
79;8855.160175;9297.918184;9762.814093;10250.9548;10763.50254;11301.67766;11866.76155;12460.09962;13083.10461;13737.25984
80;8750.392641;9187.912273;9647.307886;10129.67328;10636.15694;11167.96479;11726.36303;12312.68118;12928.31524;13574.731
81;8969.784801;9418.274041;9889.187743;10383.64713;10902.82949;11447.97096;12020.36951;12621.38798;13252.45738;13915.08025
82;8344.367751;8761.586138;9199.665445;9659.648717;10142.63115;10649.76271;11182.25085;11741.36339;12328.43156;12944.85314
83;14453.52109;15176.19715;15935.00701;16731.75736;17568.34522;18446.76249;19369.10061;20337.55564;21354.43342;22422.15509
84;8880.342878;9324.360022;9790.578023;10280.10692;10794.11227;11333.81788;11900.50878;12495.53422;13120.31093;13776.32647
85;10158.94681;10666.89415;11200.23886;11760.2508;12348.26334;12965.67651;13613.96034;14294.65835;15009.39127;15759.86083
86;11897.95733;12492.85519;13117.49795;13773.37285;14462.04149;15185.14357;15944.40074;16741.62078;17578.70182;18457.63691
87;11584.689;12163.92345;12772.11963;13410.72561;14081.26189;14785.32498;15524.59123;16300.82079;17115.86183;17971.65492
88;11228.80339;11790.24356;12379.75574;12998.74352;13648.6807;14331.11473;15047.67047;15800.05399;16590.05669;17419.55953
89;9828.232143;10319.64375;10835.62594;11377.40723;11946.2776;12543.59148;13170.77105;13829.3096;14520.77508;15246.81384
90;10202.19722;10712.30708;11247.92244;11810.31856;12400.83449;13020.87621;13671.92002;14355.51602;15073.29182;15826.95641
91;13690.53918;14375.06614;15093.81944;15848.51041;16640.93594;17472.98273;18346.63187;19263.96346;20227.16164;21238.51972
92;16516.81206;17342.65267;18209.7853;19120.27456;20076.28829;21080.10271;22134.10784;23240.81323;24402.8539;25622.99659
