,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,3872.779497,4066.418472,4269.739395,4483.226365,4707.387683,4942.757067,5189.894921,5449.389667,5721.85915,6007.952108,6308.349713,6623.767199,6954.955559,7302.703337,7667.838503,8051.230429,8453.79195,8876.481548,9320.305625,9786.320906
1,3967.331149,4165.697707,4373.982592,4592.681722,4822.315808,5063.431598,5316.603178,5582.433337,5861.555004,6154.632754,6462.364392,6785.482611,7124.756742,7480.994579,7855.044308,8247.796523,8660.186349,9093.195667,9547.85545,10025.24822
2,4254.746974,4467.484322,4690.858538,4925.401465,5171.671539,5430.255116,5701.767871,5986.856265,6286.199078,6600.509032,6930.534484,7277.061208,7640.914268,8022.959982,8424.107981,8845.31338,9287.579049,9751.958001,10239.5559,10751.5337
3,4257.688545,4470.572972,4694.101621,4928.806702,5175.247037,5434.009389,5705.709859,5990.995351,6290.545119,6605.072375,6935.325994,7282.092293,7646.196908,8028.506753,8429.932091,8851.428696,9294.00013,9758.700137,10246.63514,10758.9669
4,4217.07794,4427.931837,4649.328429,4881.79485,5125.884593,5382.178822,5651.287763,5933.852152,6230.544759,6542.071997,6869.175597,7212.634377,7573.266096,7951.929401,8349.525871,8767.002164,9205.352272,9665.619886,10148.90088,10656.34592
5,4241.818124,4453.90903,4676.604482,4910.434706,5155.956441,5413.754263,5684.441976,5968.664075,6267.097279,6580.452143,6909.47475,7254.948488,7617.695912,7998.580708,8398.509743,8818.43523,9259.356992,9722.324841,10208.44108,10718.86314
6,5655.901434,5938.696506,6235.631331,6547.412897,6874.783542,7218.522719,7579.448855,7958.421298,8356.342363,8774.159481,9212.867455,9673.510828,10157.18637,10665.04569,11198.29797,11758.21287,12346.12351,12963.42969,13611.60117,14292.18123
7,8785.677372,9224.961241,9686.209303,10170.51977,10679.04576,11212.99804,11773.64795,12362.33034,12980.44686,13629.4692,14310.94266,15026.4898,15777.81429,16566.705,17395.04025,18264.79226,19178.03188,20136.93347,21143.78014,22200.96915
8,8401.853197,8821.945857,9263.04315,9726.195307,10212.50507,10723.13033,11259.28684,11822.25118,12413.36374,13034.03193,13685.73353,14370.0202,15088.52121,15842.94728,16635.09464,17466.84937,18340.19184,19257.20143,20220.0615,21231.06458
9,7895.184947,8289.944194,8704.441404,9139.663474,9596.646648,10076.47898,10580.30293,11109.31808,11664.78398,12248.02318,12860.42434,13503.44555,14178.61783,14887.54872,15631.92616,16413.52247,17234.19859,18095.90852,19000.70395,19950.73914
10,9973.921237,10472.6173,10996.24816,11546.06057,12123.3636,12729.53178,13366.00837,14034.30879,14736.02423,15472.82544,16246.46671,17058.79005,17911.72955,18807.31603,19747.68183,20735.06592,21771.81921,22860.41017,24003.43068,25203.60222
11,9666.068734,10149.37217,10656.84078,11189.68282,11749.16696,12336.62531,12953.45657,13601.1294,14281.18587,14995.24516,15745.00742,16532.25779,17358.87068,18226.81422,19138.15493,20095.06268,21099.81581,22154.8066,23262.54693,24425.67428
12,9279.889275,9743.883739,10231.07793,10742.63182,11279.76341,11843.75158,12435.93916,13057.73612,13710.62293,14396.15407,15115.96178,15871.75987,16665.34786,17498.61525,18373.54602,19292.22332,20256.83448,21269.67621,22333.16002,23449.81802
13,10536.5244,11063.35062,11616.51815,12197.34406,12807.21126,13447.57182,14119.95042,14825.94794,15567.24533,16345.6076,17162.88798,18021.03238,18922.084,19868.1882,20861.59761,21904.67749,22999.91136,24149.90693,25357.40228,26625.27239
14,20070.07781,21073.5817,22127.26078,23233.62382,24395.30501,25615.07026,26895.82378,28240.61497,29652.64572,31135.278,32692.0419,34326.644,36042.9762,37845.12501,39737.38126,41724.25032,43810.46283,46000.98598,48301.03527,50716.08704
15,14148.19606,14855.60586,15598.38615,16378.30546,17197.22073,18057.08177,18959.93586,19907.93265,20903.32928,21948.49575,23045.92053,24198.21656,25408.12739,26678.53376,28012.46045,29413.08347,30883.73764,32427.92452,34049.32075,35751.78679
16,11612.4986,12193.12353,12802.7797,13442.91869,14115.06462,14820.81785,15561.85875,16339.95168,17156.94927,18014.79673,18915.53657,19861.3134,20854.37907,21897.09802,22991.95292,24141.55057,25348.62809,26616.0595,27946.86247,29344.2056
17,8648.979851,9081.428843,9535.500285,10012.2753,10512.88906,11038.53352,11590.46019,12169.9832,12778.48236,13417.40648,14088.27681,14792.69065,15532.32518,16308.94144,17124.38851,17980.60793,18879.63833,19823.62025,20814.80126,21855.54132
18,10247.70997,10760.09546,11298.10024,11863.00525,12456.15551,13078.96329,13732.91145,14419.55702,15140.53487,15897.56162,16692.4397,17527.06168,18403.41477,19323.58551,20289.76478,21304.25302,22369.46567,23487.93896,24662.3359,25895.4527
19,14243.28283,14955.44697,15703.21932,16488.38029,17312.7993,18178.43927,19087.36123,20041.72929,21043.81576,22096.00655,23200.80687,24360.84722,25578.88958,26857.83406,28200.72576,29610.76205,31091.30015,32645.86516,34278.15841,35992.06634
20,18024.50699,18925.73234,19872.01896,20865.6199,21908.9009,23004.34594,24154.56324,25362.2914,26630.40597,27961.92627,29360.02259,30828.02372,32369.4249,33987.89615,35687.29095,37471.6555,39345.23828,41312.50019,43378.1252,45547.03146
21,19862.67437,20855.80809,21898.5985,22993.52842,24143.20484,25350.36509,26617.88334,27948.77751,29346.21638,30813.5272,32354.20356,33971.91374,35670.50943,37454.0349,39326.73664,41293.07348,43357.72715,45525.61351,47801.89418,50191.98889
22,17532.25678,18408.86961,19329.31309,20295.77875,21310.56769,22376.09607,23494.90087,24669.64592,25903.12821,27198.28463,28558.19886,29986.1088,31485.41424,33059.68495,34712.6692,36448.30266,38270.71779,40184.25368,42193.46637,44303.13968
23,10171.22857,10679.79,11213.7795,11774.46848,12363.1919,12981.3515,13630.41907,14311.94003,15027.53703,15778.91388,16567.85957,17396.25255,18266.06518,19179.36844,20138.33686,21145.2537,22202.51639,23312.64221,24478.27432,25702.18803
24,3768.375789,3956.794579,4154.634308,4362.366023,4580.484324,4809.50854,5049.983967,5302.483166,5567.607324,5845.98769,6138.287075,6445.201428,6767.4615,7105.834575,7461.126304,7834.182619,8225.89175,8637.186337,9069.045654,9522.497937
25,3897.274003,4092.137703,4296.744588,4511.581818,4737.160909,4974.018954,5222.719902,5483.855897,5758.048692,6045.951126,6348.248683,6665.661117,6998.944173,7348.891381,7716.33595,8102.152748,8507.260385,8932.623404,9379.254575,9848.217303
26,4182.678277,4391.812191,4611.402801,4841.972941,5084.071588,5338.275167,5605.188926,5885.448372,6179.72079,6488.70683,6813.142171,7153.79928,7511.489244,7887.063706,8281.416892,8695.487736,9130.262123,9586.775229,10066.11399,10569.41969
27,4216.563347,4427.391515,4648.76109,4881.199145,5125.259102,5381.522057,5650.59816,5933.128068,6229.784471,6541.273695,6868.33738,7211.754249,7572.341961,7950.959059,8348.507012,8765.932363,9204.228981,9664.44043,10147.66245,10655.04557
28,4296.83186,4511.673453,4737.257126,4974.119982,5222.825981,5483.96728,5758.165644,6046.073927,6348.377623,6665.796504,6999.086329,7349.040646,7716.492678,8102.317312,8507.433177,8932.804836,9379.445078,9848.417332,10340.8382,10857.88011
29,4518.642229,4744.574341,4981.803058,5230.893211,5492.437871,5767.059765,6055.412753,6358.183391,6676.09256,7009.897188,7360.392048,7728.41165,8114.832233,8520.573844,8946.602537,9393.932663,9863.629296,10356.81076,10874.6513,11418.38386
30,5682.396861,5966.516704,6264.84254,6578.084667,6906.9889,7252.338345,7614.955262,7995.703025,8395.488177,8815.262585,9256.025715,9718.827,10204.76835,10715.00677,11250.75711,11813.29496,12403.95971,13024.1577,13675.36558,14359.13386
31,9254.012061,9716.712664,10202.5483,10712.67571,11248.3095,11810.72497,12401.26122,13021.32428,13672.3905,14356.01002,15073.81052,15827.50105,16618.8761,17449.81991,18322.3109,19238.42645,20200.34777,21210.36516,22270.88341,23384.42758
32,9790.887667,10280.43205,10794.45365,11334.17634,11900.88515,12495.92941,13120.72588,13776.76217,14465.60028,15188.8803,15948.32431,16745.74053,17583.02755,18462.17893,19385.28788,20354.55227,21372.27989,22440.89388,23562.93857,24741.0855
33,7865.771085,8259.059639,8672.012621,9105.613252,9560.893915,10038.93861,10540.88554,11067.92982,11621.32631,12202.39262,12812.51226,13453.13787,14125.79476,14832.0845,15573.68873,16352.37316,17169.99182,18028.49141,18929.91598,19876.41178
34,13227.53249,13888.90912,14583.35457,15312.5223,16078.14842,16882.05584,17726.15863,18612.46656,19543.08989,20520.24438,21546.2566,22623.56943,23754.74791,24942.4853,26189.60957,27499.09004,28874.04455,30317.74677,31833.63411,33425.31582
35,12053.78021,12656.46922,13289.29268,13953.75731,14651.44518,15384.01744,16153.21831,16960.87923,17808.92319,18699.36935,19634.33781,20616.0547,21646.85744,22729.20031,23865.66033,25058.94334,26311.89051,27627.48504,29008.85929,30459.30225
36,8842.039895,9284.14189,9748.348984,10235.76643,10747.55476,11284.93249,11849.17912,12441.63807,13063.71998,13716.90598,14402.75127,15122.88884,15879.03328,16672.98494,17506.63419,18381.9659,19301.0642,20266.11741,21279.42328,22343.39444
37,9190.739477,9650.276451,10132.79027,10639.42979,11171.40128,11729.97134,12316.46991,12932.2934,13578.90807,14257.85348,14970.74615,15719.28346,16505.24763,17330.51001,18197.03551,19106.88729,20062.23165,21065.34324,22118.6104,23224.54092
